Time,LandAverageTemperature,LandAverageTemperatureUncertainty
1801-01-01,2.6870000000000003,1.922
1801-02-01,3.149,2.045
1801-03-01,6.455,1.336
1801-04-01,7.404,1.619
1801-05-01,12.123,1.541
1801-06-01,12.536,0.877
1801-07-01,14.675999999999998,1.56
1801-08-01,13.187,1.223
1801-09-01,11.462,1.384
1801-10-01,9.099,1.267
1801-11-01,5.72,1.681
1801-12-01,4.577999999999999,2.525
1802-01-01,3.74,1.905
1802-02-01,2.8280000000000003,2.053
1802-03-01,5.2010000000000005,2.7060000000000004
1802-04-01,7.622999999999998,1.464
1802-05-01,10.457,1.82
1802-06-01,14.470999999999998,1.253
1802-07-01,14.628,1.155
1802-08-01,14.039,1.586
1802-09-01,11.787999999999998,2.141
1802-10-01,9.747,1.612
1802-11-01,5.535,2.146
1802-12-01,2.881,2.347
1803-01-01,0.6019999999999999,2.026
1803-02-01,1.443,2.887
1803-03-01,4.875,2.061
1803-04-01,9.291,1.914
1803-05-01,11.795,0.898
1803-06-01,13.821,0.7659999999999999
1803-07-01,15.106,0.944
1803-08-01,15.366,1.252
1803-09-01,12.33,1.259
1803-10-01,9.119,1.479
1803-11-01,5.961,1.843
1803-12-01,2.327,2.269
1804-01-01,2.4450000000000003,2.6830000000000003
1804-02-01,1.939,2.293
1804-03-01,4.425,2.186
1804-04-01,10.057,1.117
1804-05-01,12.107,1.274
1804-06-01,13.774,1.58
1804-07-01,15.774,1.318
1804-08-01,14.511,1.08
1804-09-01,12.468,2.644
1804-10-01,9.282,1.231
1804-11-01,7.132000000000001,2.099
1804-12-01,2.224,2.597
1805-01-01,2.822,2.512
1805-02-01,2.557,2.455
1805-03-01,5.76,1.4980000000000002
1805-04-01,8.123,1.291
1805-05-01,11.104,1.216
1805-06-01,14.027,1.368
1805-07-01,14.702,1.151
1805-08-01,15.27,1.021
1805-09-01,12.039,1.831
1805-10-01,7.635999999999999,1.6030000000000002
1805-11-01,4.555,2.399
1805-12-01,4.158,1.922
1806-01-01,2.9170000000000003,2.167
1806-02-01,2.937,2.079
1806-03-01,4.691,1.557
1806-04-01,8.032,1.7719999999999998
1806-05-01,11.503,1.426
1806-06-01,12.418,0.8370000000000001
1806-07-01,13.923,1.505
1806-08-01,14.593,1.361
1806-09-01,12.549,1.753
1806-10-01,8.426,1.113
1806-11-01,5.231,1.5419999999999998
1806-12-01,3.989,1.729
1807-01-01,1.0550000000000002,2.393
1807-02-01,4.093999999999999,2.677
1807-03-01,4.788,2.253
1807-04-01,6.970999999999999,1.26
1807-05-01,9.331,0.93
1807-06-01,13.293,1.271
1807-07-01,14.138,1.605
1807-08-01,13.799,1.525
1807-09-01,12.614999999999998,1.18
1807-10-01,8.857000000000001,1.193
1807-11-01,6.015,1.588
1807-12-01,4.420999999999999,1.232
1808-01-01,1.131,4.1110000000000015
1808-02-01,2.142,2.175
1808-03-01,4.361000000000001,3.02
1808-04-01,7.481999999999998,1.459
1808-05-01,9.357,2.068
1808-06-01,13.428999999999998,1.585
1808-07-01,14.491,1.676
1808-08-01,13.047,1.227
1808-09-01,12.711,1.6880000000000002
1808-10-01,7.971999999999999,1.48
1808-11-01,4.5120000000000005,1.7719999999999998
1808-12-01,0.887,1.7009999999999998
1809-01-01,0.2080000000000001,2.59
1809-02-01,0.8559999999999999,2.818
1809-03-01,3.425,1.666
1809-04-01,7.832999999999998,2.498
1809-05-01,9.243,1.304
1809-06-01,12.998,1.348
1809-07-01,12.656,1.481
1809-08-01,12.905,1.6669999999999998
1809-09-01,10.967,1.633
1809-10-01,8.65,3.554
1809-11-01,3.099,2.478
1809-12-01,2.077,2.588
1810-01-01,0.8880000000000001,3.258
1810-02-01,2.391,2.403
1810-03-01,5.013999999999999,4.457
1810-04-01,6.533,2.229
1810-05-01,9.069,1.907
1810-06-01,11.934,2.281
1810-07-01,12.550999999999998,2.016
1810-08-01,12.041,1.212
1810-09-01,9.532,1.247
1810-10-01,6.632000000000001,1.989
1810-11-01,3.827,2.64
1810-12-01,2.66,2.093
1811-01-01,1.374,2.323
1811-02-01,0.4500000000000002,3.475
1811-03-01,3.701,1.808
1811-04-01,6.3020000000000005,1.422
1811-05-01,9.443,1.663
1811-06-01,12.137,1.706
1811-07-01,11.956,1.383
1811-08-01,13.326,2.289
1811-09-01,10.368,1.931
1811-10-01,6.58,2.863
1811-11-01,3.503,1.802
1811-12-01,3.174,2.484
1812-01-01,0.977,4.545
1812-02-01,0.1310000000000002,3.062
1812-03-01,2.044,1.805
1812-04-01,6.949999999999998,1.984
1812-05-01,9.579999999999998,1.279
1812-06-01,12.005,1.1740000000000002
1812-07-01,14.355,1.463
1812-08-01,15.018,1.746
1812-09-01,10.185,2.052
1812-10-01,7.593,1.793
1812-11-01,4.369,2.585
1812-12-01,1.348,2.139
1813-01-01,-1.3849999999999998,2.191
1813-02-01,2.258,1.958
1813-03-01,1.596,1.622
1813-04-01,8.181999999999999,1.486
1813-05-01,11.367,3.826
1813-06-01,13.242,1.138
1813-07-01,14.521,0.877
1813-08-01,13.097,0.995
1813-09-01,12.339,1.743
1813-10-01,8.666,1.565
1813-11-01,6.825,1.315
1813-12-01,2.171,1.79
1814-01-01,1.5020000000000002,2.622
1814-02-01,1.689,2.121
1814-03-01,2.664,2.259
1814-04-01,7.193,1.5
1814-05-01,9.417,2.321
1814-06-01,12.818,0.989
1814-07-01,12.532,1.852
1814-08-01,12.668,1.453
1814-09-01,10.675999999999998,1.332
1814-10-01,7.374,1.847
1814-11-01,6.739,3.428
1814-12-01,5.8290000000000015,4.298
1815-01-01,2.051,2.033
1815-02-01,2.273,2.386
1815-03-01,3.663,2.3280000000000003
1815-04-01,6.587999999999999,2.341
1815-05-01,9.845,1.812
1815-06-01,11.162,1.242
1815-07-01,14.394,2.371
1815-08-01,13.209,1.348
1815-09-01,11.151,1.503
1815-10-01,7.1370000000000005,2.295
1815-11-01,4.178,1.732
1815-12-01,1.2209999999999996,2.207
1816-01-01,2.737,2.724
1816-02-01,0.6759999999999997,2.947
1816-03-01,3.905,1.928
1816-04-01,7.606,2.129
1816-05-01,10.594,1.804
1816-06-01,11.79,1.087
1816-07-01,12.267,1.538
1816-08-01,12.57,1.257
1816-09-01,10.39,0.7070000000000001
1816-10-01,5.699,3.583
1816-11-01,4.058,3.81
1816-12-01,0.9580000000000002,2.801
1817-01-01,1.54,2.451
1817-02-01,3.649,2.547
1817-03-01,4.569,2.153
1817-04-01,7.8889999999999985,1.836
1817-05-01,9.476,1.394
1817-06-01,11.287,1.25
1817-07-01,12.072,1.057
1817-08-01,13.403,1.307
1817-09-01,8.812000000000001,1.178
1817-10-01,6.202999999999999,1.963
1817-11-01,4.638,1.6909999999999998
1817-12-01,0.1699999999999999,1.673
1818-01-01,1.2040000000000002,1.775
1818-02-01,0.7549999999999999,1.912
1818-03-01,5.565,2.177
1818-04-01,9.901,2.662
1818-05-01,11.247,1.457
1818-06-01,13.825,2.26
1818-07-01,13.51,1.9
1818-08-01,13.166,0.996
1818-09-01,10.578,1.063
1818-10-01,6.654,1.704
1818-11-01,5.035,2.807
1818-12-01,2.507,1.236
1819-01-01,1.0140000000000002,1.984
1819-02-01,2.286,1.995
1819-03-01,2.931,2.93
1819-04-01,7.029,1.344
1819-05-01,9.851,1.112
1819-06-01,12.526,1.539
1819-07-01,13.038,1.17
1819-08-01,12.557,1.124
1819-09-01,10.893999999999998,1.052
1819-10-01,9.312,1.223
1819-11-01,5.15,1.6269999999999998
1819-12-01,1.842,1.883
1820-01-01,1.236,3.9
1820-02-01,2.145,2.004
1820-03-01,4.618,1.945
1820-04-01,8.7,1.168
1820-05-01,11.62,1.256
1820-06-01,13.323,0.912
1820-07-01,13.311,1.375
1820-08-01,11.978,1.317
1820-09-01,11.16,1.176
1820-10-01,7.587999999999999,1.605
1820-11-01,4.4430000000000005,1.074
1820-12-01,1.273,1.693
1821-01-01,2.999,1.5490000000000002
1821-02-01,3.758,2.018
1821-03-01,5.462000000000001,1.275
1821-04-01,7.738999999999999,0.858
1821-05-01,11.3,1.392
1821-06-01,12.608,1.4240000000000002
1821-07-01,13.039,1.289
1821-08-01,13.145,1.482
1821-09-01,10.178,1.219
1821-10-01,8.535,0.924
1821-11-01,5.601,1.802
1821-12-01,2.717,1.278
1822-01-01,2.759,2.416
1822-02-01,4.465,1.83
1822-03-01,7.787000000000001,2.016
1822-04-01,8.277999999999999,1.295
1822-05-01,10.486,1.159
1822-06-01,13.067,0.899
1822-07-01,14.212,1.068
1822-08-01,13.215,0.8959999999999999
1822-09-01,10.695,0.8690000000000001
