Time,LandAverageTemperature
1973-01,3.0380000000000003
1973-02,3.898
1973-03,5.82
1973-04,8.937999999999997
1973-05,11.768999999999998
1973-06,13.824000000000002
1973-07,14.435
1973-08,13.869000000000002
1973-09,12.125
1973-10,9.609
1973-11,6.222
1973-12,3.832
1974-01,2.261
1974-02,2.582
1974-03,5.19
1974-04,8.386000000000001
1974-05,11.198
1974-06,13.382
1974-07,14.288
1974-08,14.015999999999998
1974-09,11.744000000000002
1974-10,9.098
1974-11,5.915
1974-12,3.55
1975-01,3.059
1975-02,3.395
1975-03,5.706
1975-04,8.584
1975-05,11.742
1975-06,13.557
1975-07,14.351
1975-08,13.514
1975-09,12.152
1975-10,9.318
1975-11,5.893
1975-12,3.667
1976-01,2.884
1976-02,3.031
1976-03,4.517
1976-04,8.293999999999999
1976-05,10.941999999999998
1976-06,13.086
1976-07,14.155
1976-08,13.511
1976-09,11.895
1976-10,8.511000000000001
1976-11,5.66
1976-12,3.681
1977-01,2.492
1977-02,3.471
1977-03,5.702000000000001
1977-04,8.85
1977-05,11.78
1977-06,13.876
1977-07,14.630999999999998
1977-08,14.09
1977-09,11.861999999999998
1977-10,9.156
1977-11,6.5440000000000005
1977-12,3.749
1978-01,2.705
1978-02,3.4560000000000004
1978-03,5.607
1978-04,8.790999999999999
1978-05,11.414
1978-06,13.22
1978-07,14.364
1978-08,13.297
1978-09,12.03
1978-10,9.339
1978-11,6.3500000000000005
1978-12,3.74
1979-01,2.6790000000000003
1979-02,2.841
1979-03,5.474
1979-04,8.455
1979-05,11.199000000000002
1979-06,13.487
1979-07,14.114
1979-08,13.833
1979-09,12.247
1979-10,9.586
1979-11,6.2860000000000005
1979-12,4.6
1980-01,2.9560000000000004
1980-02,3.652
1980-03,5.367000000000001
1980-04,8.934999999999997
1980-05,11.77
1980-06,13.582
1980-07,14.742
1980-08,14.189
1980-09,12.321
1980-10,9.55
1980-11,6.684
1980-12,4.016
1981-01,3.785
1981-02,4.021
1981-03,6.239
1981-04,8.953
1981-05,11.565
1981-06,13.765
1981-07,14.738
1981-08,14.502
1981-09,12.236
1981-10,9.394
1981-11,6.273
1981-12,4.519
1982-01,2.5580000000000003
1982-02,3.281
1982-03,4.873
1982-04,8.465
1982-05,11.348
1982-06,13.245
1982-07,14.545
1982-08,13.796
1982-09,12.039
1982-10,9.232
1982-11,5.961
1982-12,4.327
1983-01,3.4450000000000003
1983-02,3.814
1983-03,5.699
1983-04,8.693
1983-05,11.729
1983-06,13.478
1983-07,14.408
1983-08,14.302
1983-09,12.698
1983-10,9.478
1983-11,6.7650000000000015
1983-12,3.829
1984-01,2.9410000000000003
1984-02,3.093
1984-03,5.671
1984-04,8.431999999999999
1984-05,11.976
1984-06,13.387
1984-07,14.429
1984-08,13.984000000000002
1984-09,12.015
1984-10,9.378
1984-11,5.811
1984-12,3.185
1985-01,3.01
1985-02,2.704
1985-03,5.4510000000000005
1985-04,8.633
1985-05,11.425999999999998
1985-06,13.569
1985-07,13.973
1985-08,14.059
1985-09,11.98
1985-10,9.338
1985-11,5.968
1985-12,3.785
1986-01,3.315
1986-02,3.991
1986-03,5.755
1986-04,8.870999999999997
1986-05,11.581
1986-06,13.439
1986-07,14.293
1986-08,13.972
1986-09,11.816999999999998
1986-10,9.299
1986-11,5.9190000000000005
1986-12,3.751
1987-01,3.139
1987-02,4.134
1987-03,5.245
1987-04,8.594999999999999
1987-05,11.525
1987-06,13.927
1987-07,14.89
1987-08,13.896
1987-09,12.447
1987-10,9.59
1987-11,6.056
1987-12,4.489
1988-01,3.454
1988-02,3.422
1988-03,5.931
1988-04,8.991999999999997
1988-05,11.852
1988-06,14.099
1988-07,14.798
1988-08,14.553
1988-09,12.681
1988-10,9.979
1988-11,6.295
1988-12,4.363
1989-01,2.71
1989-02,3.627
1989-03,5.792000000000001
1989-04,8.689
1989-05,11.28
1989-06,13.447
1989-07,14.612
1989-08,14.135
1989-09,12.403
1989-10,9.76
1989-11,6.178999999999999
1989-12,4.43
1990-01,3.2430000000000003
1990-02,3.643
1990-03,6.73
1990-04,9.169
1990-05,11.831
1990-06,13.893
1990-07,14.784
1990-08,14.095
1990-09,12.195
1990-10,9.882
1990-11,6.92
