Time,LandAverageTemperature
1801-01,2.6870000000000003
1801-02,3.149
1801-03,6.455
1801-04,7.404
1801-05,12.123
1801-06,12.536
1801-07,14.675999999999998
1801-08,13.187
1801-09,11.462
1801-10,9.099
1801-11,5.72
1801-12,4.577999999999999
1802-01,3.74
1802-02,2.8280000000000003
1802-03,5.2010000000000005
1802-04,7.622999999999998
1802-05,10.457
1802-06,14.470999999999998
1802-07,14.628
1802-08,14.039
1802-09,11.787999999999998
1802-10,9.747
1802-11,5.535
1802-12,2.881
1803-01,0.6019999999999999
1803-02,1.443
1803-03,4.875
1803-04,9.291
1803-05,11.795
1803-06,13.821
1803-07,15.106
1803-08,15.366
1803-09,12.33
1803-10,9.119
1803-11,5.961
1803-12,2.327
1804-01,2.4450000000000003
1804-02,1.939
1804-03,4.425
1804-04,10.057
1804-05,12.107
1804-06,13.774
1804-07,15.774
1804-08,14.511
1804-09,12.468
1804-10,9.282
1804-11,7.132000000000001
1804-12,2.224
1805-01,2.822
1805-02,2.557
1805-03,5.76
1805-04,8.123
1805-05,11.104
1805-06,14.027
1805-07,14.702
1805-08,15.27
1805-09,12.039
1805-10,7.635999999999999
1805-11,4.555
1805-12,4.158
1806-01,2.9170000000000003
1806-02,2.937
1806-03,4.691
1806-04,8.032
1806-05,11.503
1806-06,12.418
1806-07,13.923
1806-08,14.593
1806-09,12.549
1806-10,8.426
1806-11,5.231
1806-12,3.989
1807-01,1.0550000000000002
1807-02,4.093999999999999
1807-03,4.788
1807-04,6.970999999999999
1807-05,9.331
1807-06,13.293
1807-07,14.138
1807-08,13.799
1807-09,12.614999999999998
1807-10,8.857000000000001
1807-11,6.015
1807-12,4.420999999999999
1808-01,1.131
1808-02,2.142
1808-03,4.361000000000001
1808-04,7.481999999999998
1808-05,9.357
1808-06,13.428999999999998
1808-07,14.491
1808-08,13.047
1808-09,12.711
1808-10,7.971999999999999
1808-11,4.5120000000000005
1808-12,0.887
1809-01,0.2080000000000001
1809-02,0.8559999999999999
1809-03,3.425
1809-04,7.832999999999998
1809-05,9.243
1809-06,12.998
1809-07,12.656
1809-08,12.905
1809-09,10.967
1809-10,8.65
1809-11,3.099
1809-12,2.077
1810-01,0.8880000000000001
1810-02,2.391
1810-03,5.013999999999999
1810-04,6.533
1810-05,9.069
1810-06,11.934
1810-07,12.550999999999998
1810-08,12.041
1810-09,9.532
1810-10,6.632000000000001
1810-11,3.827
1810-12,2.66
1811-01,1.374
1811-02,0.4500000000000002
1811-03,3.701
1811-04,6.3020000000000005
1811-05,9.443
1811-06,12.137
1811-07,11.956
1811-08,13.326
1811-09,10.368
1811-10,6.58
1811-11,3.503
1811-12,3.174
1812-01,0.977
1812-02,0.1310000000000002
1812-03,2.044
1812-04,6.949999999999998
1812-05,9.579999999999998
1812-06,12.005
1812-07,14.355
1812-08,15.018
1812-09,10.185
1812-10,7.593
1812-11,4.369
1812-12,1.348
1813-01,-1.3849999999999998
1813-02,2.258
1813-03,1.596
1813-04,8.181999999999999
1813-05,11.367
1813-06,13.242
